Countries,Speed in Mbps
Country,Mbps
                                  Namibia                                ,11.32
                                  Libya                                ,10.02
                                  Benin                                ,9.97
                                  Sierra Leone                                ,9.59
                                  Ethiopia                                ,9.37
                                  Nigeria                                ,9.22
                                  Papua New Guinea                                ,9.06
                                  Cameroon                                ,9.04
                                  Burundi                                ,8.90
                                  Pakistan                                ,8.52
                                  The Gambia                                ,8.34
                                  Djibouti                                ,8.26
                                  Malawi                                ,8.25
                                  Burkina Faso                                ,8.11
                                  Botswana                                ,8.08
                                  Tunisia                                ,7.87
                                  Mozambique                                ,7.56
                                  Syria                                ,7.09
                                  DR Congo                                ,7.01
                                  Afghanistan                                ,6.33
                                  Mauritania                                ,6.11
                                  Sudan                                ,5.87
                                  Turkmenistan                                ,4.08
                                  Yemen                                ,3.77
                                  Cuba                                ,3.55
                                  Venezuela                                ,3.48
                                  Algeria                                ,3.48
